,keyword,urls_seo,name_seo,h3_seo,currency,avg__monthly_searches,cambio_en_tres_meses,cambio_interanual,competition,competition_(indexed_value),top_of_page_bid_(low_range),top_of_page_bid_(high_range)
0,tupper,,,,EUR,18100.0,50%,23%,Alta,99.0,"0,11","0,39"
1,tupper cristal,https://www.amazon.es/tupper-cristal/s?k=tupper+cristal,Amazon.es,Tupper Cristal,EUR,2900.0,83%,22%,Alta,100.0,"0,14","0,37"
2,tupper cristal,https://www.lidl.es/es/tuppers/c6257?srsltid=AfmBOoo35wg3zhkfnQ4DaYmmCW53e9OXtGv1_Uny0wjVLRxl-rZTzhei,Compra Online | Lidl,"Tuppers para comida: de cristal, al vacío y más",EUR,2900.0,83%,22%,Alta,100.0,"0,14","0,37"
3,tupper cristal,https://www.ikea.com/es/es/p/ikea-365-bote-con-tapa-rectangular-vidrio-plastico-s89269071/,IKEA,"IKEA 365+ bote con tapa, rectangular vidrio/plástico, 1.0 l",EUR,2900.0,83%,22%,Alta,100.0,"0,14","0,37"
4,tupper de cristal,https://www.amazon.es/tupper-cristal/s?k=tupper+cristal,Amazon.es,Cómo saber si el tupper es apto para el microondas - Sitio Andino,EUR,1000.0,82%,23%,Alta,100.0,"0,13","0,31"
5,tupper de cristal,https://www.ohgar.com/es/c/recipientes-y-hermeticos--tapers/CP03005001?srsltid=AfmBOorohHn6t7jC2otNHXy45Mh-ZzCmHSn6XnuqjidyQnEvjKM0Yay5,Ohgar,¿Cómo saber si un recipiente de vidrio es apto para horno?,EUR,1000.0,82%,23%,Alta,100.0,"0,13","0,31"
6,tupper de cristal,https://www.lidl.es/es/tuppers/c6257?srsltid=AfmBOorcqR5DStFdyYOBXZ3exDGLc_hAHqbNWCfmXN6Okxn1xKGBod8p,Compra Online | Lidl,El 'tupper' de vidrio: el recipiente más sano para los alimentos - RTVE.es,EUR,1000.0,82%,23%,Alta,100.0,"0,13","0,31"
7,tupper microondas,https://www.tupperware.es/shop/es/microondas.html,Tupperware España,Tupper Cristal Rectangular - Varios Tamaños,EUR,590.0,51%,-18%,Alta,100.0,"0,08","0,20"
8,tupper microondas,"https://www.latercera.com/paula-cocina/noticia/como-saber-que-recipiente-o-taper-es-apto-para-el-microondas-y-cual-no/PPRI5HXQE5GCLCU3IOL5NEMSTU/#:~:text=Es%20el%20polipropileno%20de%20uso,que%20es%20libre%20de%20BPA.",La Tercera,Tupper redondo de acero inoxidable y tapa cristal,EUR,590.0,51%,-18%,Alta,100.0,"0,08","0,20"
9,tupper microondas,"https://www.spg-pack.com/blog/envases-plastico-microondas/#:~:text=Si%20atendemos%20a%20los%20c%C3%B3digos,sustancias%20como%20el%20Biosfenol%2DA.",SPG-Pack,Taper de cristal Duralex® | Recipiente rectangular,EUR,590.0,51%,-18%,Alta,100.0,"0,08","0,20"
10,tupper infantil,https://www.amazon.es/tupper-infantil/s?k=tupper+infantil,Amazon.es,Tuppers y Portaalimentos | Ahorramas Supermercado online,EUR,480.0,171%,-19%,Alta,100.0,"0,08","0,36"
11,tupper infantil,https://infantdeco.es/categoria-producto/alimentacion-y-lactancia/fiambreras-infantiles/?srsltid=AfmBOooxmKJyqVI76XVeBErS2el8iSAasS2J1Iwtd-vbhw7Qss3SkptM,Infantdeco,Tapers Cristal - Almacenamiento Y Organización,EUR,480.0,171%,-19%,Alta,100.0,"0,08","0,36"
12,tupper infantil,https://www.oukidsshop.com/30-fiambreras-infantiles-vuelta-al-cole?srsltid=AfmBOoqklAJ5JAsVqCGgxrwGA8B5mhoQtVmEd59g72ah9m6T8dc3Sour,Oukidsshop,Taper de cristal Duralex® | Recipiente rectangular,EUR,480.0,171%,-19%,Alta,100.0,"0,08","0,36"
13,tupper acero inoxidable,https://www.amazon.es/fiambrera-acero-inoxidable/s?k=fiambrera+acero+inoxidable,Amazon.es,⇒ Taper de cristal ▷ Comprar con los Mejores Precios. ...,EUR,480.0,69%,108%,Alta,100.0,"0,09","0,36"
14,tupper acero inoxidable,https://cocuisineshop.com/collections/termos-comida-y-liquidos?srsltid=AfmBOorowRHCHo030Fioq-yo2iFbeTJU318_rFHR6tm0o-iug5akkbqZ,cocuisine,Táper de plástico o de cristal: ¿cuál es mejor? - El Debate,EUR,480.0,69%,108%,Alta,100.0,"0,09","0,36"
15,tupper acero inoxidable,https://www.aupaorganics.com/97-fiambreras-y-cubiertos,Aúpa Organics,El 'tupper' de vidrio: el recipiente más sano para los alimentos - RTVE.es,EUR,480.0,69%,108%,Alta,100.0,"0,09","0,36"
16,tupper para llevar comida al trabajo,https://rimoplasticas.com/blog/tips-para-llevar-almuerzo-al-trabajo/,Rimoplásticas,"Tuppers para comida: de cristal, al vacío y más",EUR,480.0,83%,22%,Media,49.0,"0,26","0,61"
17,tupper para llevar comida al trabajo,"https://elpais.com/escaparate/2023-09-07/tuppers-para-llevar-la-comida-al-trabajo.html#:~:text=Hemos%20querido%20considerar%20en%20esta,otro%20lugar%20fuera%20de%20casa.",EL PAÍS,Tapers cristal y plástico | Tuppers herméticos,EUR,480.0,83%,22%,Media,49.0,"0,26","0,61"
18,tupper para llevar comida al trabajo,"https://www.envasesdelmediterraneo.com/blog/envases-comida-para-llevar/#:~:text=Los%20envases%20para%20llevar%2C%20o,a%20domicilio%20y%20su%20transporte.",Envases del Mediterráneo,Los mejores 7 juegos de tapers de cristal que debes elegir,EUR,480.0,83%,22%,Media,49.0,"0,26","0,61"
19,tuppers acero inoxidable,https://www.amazon.es/fiambrera-acero-inoxidable/s?k=fiambrera+acero+inoxidable,Amazon.es,"Tuppers de cristal para horno, microondas y congelador",EUR,480.0,69%,108%,Alta,100.0,"0,09","0,36"
